Txn_ID,Value_Date,Channel,Counterparty,Reference,Amount,Currency,Running_Balance
TXN0067,01/04/2026,DD-UTIL,Shieldcrest Insurance,DD496076,-857.01,GBP,11908428.54
TXN0068,01/04/2026,DD-UTIL,Parkfield Rates,DD368398,-176.17,GBP,11908252.37
TXN0069,01/04/2026,DD-UTIL,Northern Grid Power,DD373070,-1716.74,GBP,11906535.63
TXN0070,01/04/2026,DD-UTIL,Aquavale Water,DD121943,-535.90,GBP,11905999.73
TXN0071,01/04/2026,DD-UTIL,Talkline Telecom,DD950887,-919.76,GBP,11905079.97
TXN0072,01/04/2026,DD-UTIL,Cinderford Gas,DD559252,-1708.66,GBP,11903371.31
TXN0073,01/04/2026,DD-UTIL,Cinderford Gas,DD163576,-1887.37,GBP,11901483.94
TXN0074,01/04/2026,DD-UTIL,Northern Grid Power,DD195151,-1450.49,GBP,11900033.45
TXN0075,01/04/2026,DD-UTIL,Metro Waste Services,DD356234,-988.92,GBP,11899044.53
TXN0076,01/04/2026,DD-UTIL,Aquavale Water,DD257427,-1790.21,GBP,11897254.32
TXN0077,01/04/2026,DD-UTIL,Talkline Telecom,DD644627,-150.93,GBP,11897103.39
TXN0078,01/04/2026,DD-UTIL,Cinderford Gas,DD793345,-1128.24,GBP,11895975.15
TXN0079,01/04/2026,DD-UTIL,Shieldcrest Insurance,DD954807,-1776.43,GBP,11894198.72
TXN0080,01/04/2026,DD-UTIL,Shieldcrest Insurance,DD696892,-227.70,GBP,11893971.02
TXN0081,01/04/2026,DD-UTIL,Broadreach Broadband,DD121877,-542.30,GBP,11893428.72
TXN0082,01/04/2026,DD-UTIL,Cinderford Gas,DD766789,-1474.02,GBP,11891954.70
TXN0083,01/04/2026,DD-UTIL,Shieldcrest Insurance,DD317197,-830.06,GBP,11891124.64
TXN0084,01/04/2026,DD-UTIL,Metro Waste Services,DD405458,-37.23,GBP,11891087.41
TXN0085,01/04/2026,DD-UTIL,Cinderford Gas,DD514748,-1793.13,GBP,11889294.28
TXN0086,01/04/2026,DD-UTIL,Parkfield Rates,DD664045,-310.45,GBP,11888983.83
TXN0087,01/04/2026,DD-UTIL,Talkline Telecom,DD106556,-1397.15,GBP,11887586.68
TXN0088,01/04/2026,DD-UTIL,Metro Waste Services,DD964822,-784.41,GBP,11886802.27
TXN0089,01/04/2026,DD-UTIL,Broadreach Broadband,DD415512,-145.38,GBP,11886656.89
TXN0090,01/04/2026,DD-UTIL,Metro Waste Services,DD839325,-1260.96,GBP,11885395.93
TXN0091,01/04/2026,DD-UTIL,Talkline Telecom,DD208549,-167.34,GBP,11885228.59
TXN0092,01/04/2026,DD-UTIL,Aquavale Water,DD210748,-1244.73,GBP,11883983.86
TXN0093,01/04/2026,DD-UTIL,Metro Waste Services,DD872812,-175.56,GBP,11883808.30
TXN0094,01/04/2026,DD-UTIL,Talkline Telecom,DD136755,-1666.96,GBP,11882141.34
TXN0095,01/04/2026,DD-UTIL,Aquavale Water,DD622254,-986.35,GBP,11881154.99
TXN0096,01/04/2026,DD-UTIL,Talkline Telecom,DD330766,-76.13,GBP,11881078.86
TXN0097,01/04/2026,DD-UTIL,Talkline Telecom,DD115986,-826.44,GBP,11880252.42
TXN0098,01/04/2026,DD-UTIL,Parkfield Rates,DD611131,-1615.65,GBP,11878636.77
TXN0099,01/04/2026,DD-UTIL,Talkline Telecom,DD482219,-1297.94,GBP,11877338.83
TXN0100,01/04/2026,DD-UTIL,Shieldcrest Insurance,DD788287,-575.06,GBP,11876763.77
TXN0101,01/04/2026,DD-UTIL,Cinderford Gas,DD379067,-1244.32,GBP,11875519.45
TXN0102,01/04/2026,DD-UTIL,Parkfield Rates,DD302705,-726.16,GBP,11874793.29
TXN0103,01/04/2026,DD-UTIL,Broadreach Broadband,DD491997,-183.57,GBP,11874609.72
TXN0104,01/04/2026,BANK-CHG,Northgate Bank plc,CHG632791,-72.52,GBP,11874537.20
TXN0105,01/04/2026,BANK-CHG,Northgate Bank plc,CHG529001,-18.65,GBP,11874518.55
TXN0106,01/04/2026,BANK-CHG,Northgate Bank plc,CHG880608,-46.19,GBP,11874472.36
TXN0107,01/04/2026,BANK-CHG,Northgate Bank plc,CHG301566,-55.44,GBP,11874416.92
TXN0108,01/04/2026,BANK-CHG,Northgate Bank plc,CHG518935,-79.36,GBP,11874337.56
TXN0109,01/04/2026,BANK-CHG,Northgate Bank plc,CHG460299,-2.50,GBP,11874335.06
TXN0110,01/04/2026,BANK-CHG,Northgate Bank plc,CHG391910,-83.85,GBP,11874251.21
TXN0111,01/04/2026,BANK-CHG,Northgate Bank plc,CHG304227,-26.39,GBP,11874224.82
TXN0112,01/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-79,492.27,GBP,11874717.09
TXN0113,01/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-88,506.44,GBP,11875223.53
TXN0114,01/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-08,105.95,GBP,11875329.48
TXN0115,01/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-12,84.59,GBP,11875414.07
TXN0116,01/04/2026,INTERNAL-XFER,Treasury Sweep Account,TRF700484,81963.81,GBP,11957377.88
TXN0117,01/04/2026,INTERNAL-XFER,Treasury Sweep Account,TRF647673,39546.51,GBP,11996924.39
TXN0118,01/04/2026,INTERNAL-XFER,Treasury Sweep Account,TRF802383,84944.04,GBP,12081868.43
TXN0119,01/04/2026,INTERNAL-XFER,Treasury Sweep Account,TRF288523,33403.06,GBP,12115271.49
TXN0120,02/04/2026,SUPPLIER-BACS,Kelvinside Media,INV-1033,-30975.22,GBP,12084296.27
TXN0121,02/04/2026,SUPPLIER-FPS,Eastvale Packaging,INV-1041,-17566.76,GBP,12066729.51
TXN0122,02/04/2026,SUPPLIER-BACS,Ulverston Adhesives,INV-001087,-11684.64,GBP,12055044.87
TXN0123,02/04/2026,SUPPLIER-BACS,Bramwell Chemicals,INV-001090,-26835.44,GBP,12028209.43
TXN0124,02/04/2026,SUPPLIER-FPS,Beckworth Tooling,inv 1098,-44930.82,GBP,11983278.61
TXN0125,02/04/2026,SUPPLIER-CHAPS,Melbury Cabling,INV-1109,-20167.04,GBP,11963111.57
TXN0126,02/04/2026,SUPPLIER-BACS,Ravensworth Foods,INV-1114,-44068.38,GBP,11919043.19
TXN0127,02/04/2026,SUPPLIER-FPS,Norhaven Instruments,INV-001155,-19810.37,GBP,11899232.82
TXN0128,02/04/2026,SUPPLIER-CHAPS,Jarrowfield Paper,inv 1166,-45948.87,GBP,11853283.95
TXN0129,02/04/2026,CARD-STL,Fairhaven Parking,CRD81551399,-3476.13,GBP,11849807.82
TXN0130,02/04/2026,CARD-STL,Norbury Stationers,CRD19223875,-2873.02,GBP,11846934.80
TXN0131,02/04/2026,CARD-STL,Bellamy Coffee Co,CRD14293266,-1193.13,GBP,11845741.67
TXN0132,02/04/2026,CARD-STL,Kingsmead Pharmacy,CRD38056965,-1965.34,GBP,11843776.33
TXN0133,02/04/2026,CARD-STL,Norbury Stationers,CRD36040367,-560.63,GBP,11843215.70
TXN0134,02/04/2026,CARD-STL,Pinehurst Hotels,CRD14396429,-289.52,GBP,11842926.18
TXN0135,02/04/2026,CARD-STL,Halewood Fuel Services,CRD55401606,-2143.49,GBP,11840782.69
TXN0136,02/04/2026,CARD-STL,Jubilee Fitness,CRD35840282,-2652.79,GBP,11838129.90
TXN0137,02/04/2026,CARD-STL,Aeroline Travel,CRD36966132,-2632.70,GBP,11835497.20
TXN0138,02/04/2026,CARD-STL,Pinehurst Hotels,CRD17485746,-1245.62,GBP,11834251.58
TXN0139,02/04/2026,CARD-STL,Jubilee Fitness,CRD34471585,-3080.34,GBP,11831171.24
TXN0140,02/04/2026,CARD-STL,Pinehurst Hotels,CRD70231153,-1390.05,GBP,11829781.19
TXN0141,02/04/2026,CARD-STL,Halewood Fuel Services,CRD81618604,-3623.87,GBP,11826157.32
TXN0142,02/04/2026,CARD-STL,Fairhaven Parking,CRD94483078,-1326.78,GBP,11824830.54
TXN0143,02/04/2026,CARD-STL,Glenmoor Couriers,CRD55733826,-3166.88,GBP,11821663.66
TXN0144,02/04/2026,CARD-STL,Halewood Fuel Services,CRD92973752,-754.50,GBP,11820909.16
TXN0145,02/04/2026,CARD-STL,Inglewood Print Shop,CRD37661877,-1567.26,GBP,11819341.90
TXN0146,02/04/2026,CARD-STL,Bellamy Coffee Co,CRD25224589,-898.16,GBP,11818443.74
TXN0147,02/04/2026,CARD-STL,Norbury Stationers,CRD37290673,-2232.20,GBP,11816211.54
TXN0148,02/04/2026,CARD-STL,Kingsmead Pharmacy,CRD31351976,-1061.39,GBP,11815150.15
TXN0149,02/04/2026,CARD-STL,Aeroline Travel,CRD34521871,-2491.30,GBP,11812658.85
TXN0150,02/04/2026,CARD-STL,Cityline Rail,CRD92521706,-1292.08,GBP,11811366.77
TXN0151,02/04/2026,CARD-STL,Elmswood Books,CRD22668545,-2665.46,GBP,11808701.31
TXN0152,02/04/2026,CARD-STL,Lowfield Hardware,CRD39061400,-402.63,GBP,11808298.68
TXN0153,02/04/2026,CARD-STL,Halewood Fuel Services,CRD58405111,-272.37,GBP,11808026.31
TXN0154,02/04/2026,CARD-STL,Bellamy Coffee Co,CRD33255263,-2221.58,GBP,11805804.73
TXN0155,02/04/2026,CARD-STL,Fairhaven Parking,CRD53086441,-3295.40,GBP,11802509.33
TXN0156,02/04/2026,CARD-STL,Kingsmead Pharmacy,CRD14904640,-78.00,GBP,11802431.33
TXN0157,02/04/2026,CARD-STL,Hartsmere Catering,CRD36514370,-1498.42,GBP,11800932.91
TXN0158,02/04/2026,CARD-STL,Elmswood Books,CRD20420131,-2515.32,GBP,11798417.59
TXN0159,02/04/2026,CARD-STL,Hartsmere Catering,CRD39150740,-2336.53,GBP,11796081.06
TXN0160,02/04/2026,CARD-STL,Elmswood Books,CRD67300226,-2736.26,GBP,11793344.80
TXN0161,02/04/2026,CARD-STL,Aeroline Travel,CRD13160549,-3141.31,GBP,11790203.49
TXN0162,02/04/2026,CARD-STL,Halewood Fuel Services,CRD24920210,-1975.20,GBP,11788228.29
TXN0163,02/04/2026,CARD-STL,Dunmore Car Hire,CRD92640522,-1821.61,GBP,11786406.68
TXN0164,02/04/2026,DD-UTIL,Parkfield Rates,DD795049,-1032.32,GBP,11785374.36
TXN0165,02/04/2026,DD-UTIL,Cinderford Gas,DD915902,-1017.21,GBP,11784357.15
TXN0166,02/04/2026,DD-UTIL,Talkline Telecom,DD120875,-311.83,GBP,11784045.32
TXN0167,02/04/2026,DD-UTIL,Cinderford Gas,DD875391,-426.43,GBP,11783618.89
TXN0168,02/04/2026,DD-UTIL,Northern Grid Power,DD882991,-69.15,GBP,11783549.74
TXN0169,02/04/2026,DD-UTIL,Metro Waste Services,DD190787,-1110.67,GBP,11782439.07
TXN0170,02/04/2026,DD-UTIL,Broadreach Broadband,DD374575,-506.62,GBP,11781932.45
TXN0171,02/04/2026,DD-UTIL,Cinderford Gas,DD589024,-1710.27,GBP,11780222.18
TXN0172,02/04/2026,DD-UTIL,Broadreach Broadband,DD474817,-285.52,GBP,11779936.66
TXN0173,02/04/2026,DD-UTIL,Parkfield Rates,DD111953,-1660.67,GBP,11778275.99
TXN0174,02/04/2026,DD-UTIL,Broadreach Broadband,DD199073,-1584.15,GBP,11776691.84
TXN0175,02/04/2026,DD-UTIL,Broadreach Broadband,DD771468,-932.41,GBP,11775759.43
TXN0176,02/04/2026,DD-UTIL,Northern Grid Power,DD709609,-28.73,GBP,11775730.70
TXN0177,02/04/2026,DD-UTIL,Talkline Telecom,DD389593,-656.00,GBP,11775074.70
TXN0178,02/04/2026,DD-UTIL,Shieldcrest Insurance,DD813495,-551.63,GBP,11774523.07
TXN0179,02/04/2026,DD-UTIL,Parkfield Rates,DD266470,-1795.12,GBP,11772727.95
TXN0180,02/04/2026,DD-UTIL,Talkline Telecom,DD272159,-1823.40,GBP,11770904.55
TXN0181,02/04/2026,DD-UTIL,Shieldcrest Insurance,DD291757,-1104.26,GBP,11769800.29
TXN0182,02/04/2026,DD-UTIL,Aquavale Water,DD290690,-1061.16,GBP,11768739.13
TXN0183,02/04/2026,DD-UTIL,Parkfield Rates,DD431675,-1586.01,GBP,11767153.12
TXN0184,02/04/2026,DD-UTIL,Parkfield Rates,DD135965,-67.86,GBP,11767085.26
TXN0185,02/04/2026,DD-UTIL,Shieldcrest Insurance,DD738083,-1048.18,GBP,11766037.08
TXN0186,02/04/2026,DD-UTIL,Cinderford Gas,DD118262,-570.11,GBP,11765466.97
TXN0187,02/04/2026,DD-UTIL,Broadreach Broadband,DD310717,-688.02,GBP,11764778.95
TXN0188,02/04/2026,DD-UTIL,Metro Waste Services,DD657935,-172.89,GBP,11764606.06
TXN0189,02/04/2026,DD-UTIL,Talkline Telecom,DD482369,-815.07,GBP,11763790.99
TXN0190,02/04/2026,DD-UTIL,Northern Grid Power,DD245893,-1080.61,GBP,11762710.38
TXN0191,02/04/2026,DD-UTIL,Shieldcrest Insurance,DD120326,-1447.66,GBP,11761262.72
TXN0192,02/04/2026,DD-UTIL,Metro Waste Services,DD256136,-595.53,GBP,11760667.19
TXN0193,02/04/2026,DD-UTIL,Shieldcrest Insurance,DD686755,-1729.38,GBP,11758937.81
TXN0194,02/04/2026,DD-UTIL,Metro Waste Services,DD791588,-786.75,GBP,11758151.06
TXN0195,02/04/2026,DD-UTIL,Cinderford Gas,DD333385,-1409.12,GBP,11756741.94
TXN0196,02/04/2026,DD-UTIL,Parkfield Rates,DD907458,-682.80,GBP,11756059.14
TXN0197,02/04/2026,DD-UTIL,Metro Waste Services,DD932705,-671.99,GBP,11755387.15
TXN0198,02/04/2026,DD-UTIL,Broadreach Broadband,DD290480,-1421.08,GBP,11753966.07
TXN0199,02/04/2026,DD-UTIL,Talkline Telecom,DD609975,-1704.01,GBP,11752262.06
TXN0200,02/04/2026,DD-UTIL,Parkfield Rates,DD416454,-846.92,GBP,11751415.14
TXN0201,02/04/2026,DD-UTIL,Shieldcrest Insurance,DD917308,-706.84,GBP,11750708.30
TXN0202,02/04/2026,BANK-CHG,Northgate Bank plc,CHG490862,-17.03,GBP,11750691.27
TXN0203,02/04/2026,BANK-CHG,Northgate Bank plc,CHG771819,-72.00,GBP,11750619.27
TXN0204,02/04/2026,BANK-CHG,Northgate Bank plc,CHG314879,-23.19,GBP,11750596.08
TXN0205,02/04/2026,BANK-CHG,Northgate Bank plc,CHG262572,-38.13,GBP,11750557.95
TXN0206,02/04/2026,BANK-CHG,Northgate Bank plc,CHG380365,-88.07,GBP,11750469.88
TXN0207,02/04/2026,BANK-CHG,Northgate Bank plc,CHG153824,-14.00,GBP,11750455.88
TXN0208,02/04/2026,BANK-CHG,Northgate Bank plc,CHG848694,-58.14,GBP,11750397.74
TXN0209,02/04/2026,BANK-CHG,Northgate Bank plc,CHG139030,-53.09,GBP,11750344.65
TXN0210,02/04/2026,BANK-CHG,Northgate Bank plc,CHG441891,-36.11,GBP,11750308.54
TXN0211,02/04/2026,BANK-CHG,Northgate Bank plc,CHG457007,-82.22,GBP,11750226.32
TXN0212,02/04/2026,BANK-CHG,Northgate Bank plc,CHG502322,-47.72,GBP,11750178.60
TXN0213,02/04/2026,BANK-CHG,Northgate Bank plc,CHG356460,-67.20,GBP,11750111.40
TXN0214,02/04/2026,BANK-CHG,Northgate Bank plc,CHG851333,-79.01,GBP,11750032.39
TXN0215,02/04/2026,BANK-CHG,Northgate Bank plc,CHG891297,-47.33,GBP,11749985.06
TXN0216,02/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-07,634.03,GBP,11750619.09
TXN0217,02/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-78,281.50,GBP,11750900.59
TXN0218,02/04/2026,INTEREST,Northgate Bank plc,INT-2026-04-83,151.63,GBP,11751052.22
TXN0219,02/04/2026,INTERNAL-XFER,Treasury Sweep Account,TRF407545,-30663.55,GBP,11720388.67
TXN0220,03/04/2026,CARD-STL,Cityline Rail,CRD96842487,-1200.56,GBP,11719188.11
TXN0221,03/04/2026,CARD-STL,Norbury Stationers,CRD26534529,-2273.68,GBP,11716914.43
TXN0222,03/04/2026,CARD-STL,Bellamy Coffee Co,CRD39340423,-614.37,GBP,11716300.06
TXN0223,03/04/2026,CARD-STL,Jubilee Fitness,CRD78674630,-703.92,GBP,11715596.14
TXN0224,03/04/2026,CARD-STL,Aeroline Travel,CRD48145829,-719.83,GBP,11714876.31
TXN0225,03/04/2026,CARD-STL,Norbury Stationers,CRD32351233,-144.98,GBP,11714731.33
TXN0226,03/04/2026,CARD-STL,Lowfield Hardware,CRD99229833,-2380.56,GBP,11712350.77
TXN0227,03/04/2026,CARD-STL,Bellamy Coffee Co,CRD87840358,-2639.83,GBP,11709710.94
TXN0228,03/04/2026,CARD-STL,Norbury Stationers,CRD80981925,-3003.26,GBP,11706707.68
TXN0229,03/04/2026,CARD-STL,Lowfield Hardware,CRD82015732,-907.38,GBP,11705800.30
TXN0230,03/04/2026,CARD-STL,Crestwood IT Retail,CRD25688086,-1424.83,GBP,11704375.47
TXN0231,03/04/2026,CARD-STL,Inglewood Print Shop,CRD82214533,-436.99,GBP,11703938.48
TXN0232,03/04/2026,CARD-STL,Crestwood IT Retail,CRD50292704,-2580.86,GBP,11701357.62
TXN0233,03/04/2026,CARD-STL,Halewood Fuel Services,CRD39520748,-3491.14,GBP,11697866.48
TXN0234,03/04/2026,CARD-STL,Inglewood Print Shop,CRD72261316,-1440.17,GBP,11696426.31
TXN0235,03/04/2026,CARD-STL,Crestwood IT Retail,CRD63481634,-182.56,GBP,11696243.75
TXN0236,03/04/2026,CARD-STL,Pinehurst Hotels,CRD33045465,-1139.67,GBP,11695104.08
TXN0237,03/04/2026,CARD-STL,Crestwood IT Retail,CRD14732968,-129.80,GBP,11694974.28
TXN0238,03/04/2026,CARD-STL,Aeroline Travel,CRD46022865,-3543.89,GBP,11691430.39
TXN0239,03/04/2026,CARD-STL,Norbury Stationers,CRD97173574,-2521.98,GBP,11688908.41
TXN0240,03/04/2026,CARD-STL,Crestwood IT Retail,CRD94015664,-1781.54,GBP,11687126.87
TXN0241,03/04/2026,CARD-STL,Fairhaven Parking,CRD87612399,-3236.69,GBP,11683890.18
TXN0242,03/04/2026,CARD-STL,Pinehurst Hotels,CRD45405845,-3237.21,GBP,11680652.97
TXN0243,03/04/2026,CARD-STL,Halewood Fuel Services,CRD44049992,-256.24,GBP,11680396.73
TXN0244,03/04/2026,CARD-STL,Jubilee Fitness,CRD56291921,-1386.39,GBP,11679010.34
TXN0245,03/04/2026,CARD-STL,Cityline Rail,CRD48126455,-2601.85,GBP,11676408.49
TXN0246,03/04/2026,CARD-STL,Halewood Fuel Services,CRD72429200,-2486.74,GBP,11673921.75
TXN0247,03/04/2026,CARD-STL,Elmswood Books,CRD81994806,-3310.41,GBP,11670611.34
TXN0248,03/04/2026,CARD-STL,Cityline Rail,CRD76067802,-291.26,GBP,11670320.08
TXN0249,03/04/2026,CARD-STL,Kingsmead Pharmacy,CRD81103149,-3181.96,GBP,11667138.12
TXN0250,03/04/2026,CARD-STL,Crestwood IT Retail,CRD82858629,-2906.21,GBP,11664231.91
TXN0251,03/04/2026,CARD-STL,Aeroline Travel,CRD62790732,-1891.00,GBP,11662340.91
TXN0252,03/04/2026,CARD-STL,Lowfield Hardware,CRD82641106,-3018.88,GBP,11659322.03
TXN0253,03/04/2026,CARD-STL,Crestwood IT Retail,CRD53800472,-1440.40,GBP,11657881.63
TXN0254,03/04/2026,CARD-STL,Glenmoor Couriers,CRD98947219,-1600.01,GBP,11656281.62
TXN0255,03/04/2026,CARD-STL,Hartsmere Catering,CRD97738762,-3623.96,GBP,11652657.66
TXN0256,04/04/2026,CARD-STL,Inglewood Print Shop,CRD82095937,-1491.40,GBP,11651166.26
TXN0257,04/04/2026,CARD-STL,Glenmoor Couriers,CRD31987566,-1445.66,GBP,11649720.60
TXN0258,04/04/2026,CARD-STL,Norbury Stationers,CRD31769425,-3012.48,GBP,11646708.12
TXN0259,04/04/2026,CARD-STL,Kingsmead Pharmacy,CRD93832882,-1861.03,GBP,11644847.09
TXN0260,04/04/2026,CARD-STL,Norbury Stationers,CRD71613296,-3788.88,GBP,11641058.21
TXN0261,04/04/2026,CARD-STL,Lowfield Hardware,CRD85162087,-631.01,GBP,11640427.20
TXN0262,04/04/2026,CARD-STL,Cityline Rail,CRD64157956,-2507.80,GBP,11637919.40
